"chain";"providedId";"gln";"orgNumber";"name";"address";"postcode";"city";"phone";"email";"latitude";"longitude";"hasPost";"openSunday"
"Bunnpris";"382";;;"& Gourmet Alta";"Bjørn Wirkolas vei";"9510";"Alta";"78437711";"bpalta@bunnpris.no";"69.9645697";"23.2721634";true;false
"Bunnpris";"383";;;"Aspmyra";"Hålogalandsgt. 1";"8003";"Bodø";"75529506";"bpaspmyra@bunnpris.no";"67.2790511";"14.3774768";false;false
"Bunnpris";"384";;;"Hattfjelldal";"O. T. Olsens vei 2 C";"8690";"Hattfjelldal ";"75184278";"bphattfjelldal@bunnpris.no";"65.5967738";"13.9903355";false;false
"Bunnpris";"385";;;"Myre";"Storgata 39";"8430";"Myre";"76133110";"bpmyre@bunnpris.no";"68.9145678";"15.0939491";false;false
"Bunnpris";"386";;;"Årdal";"Storevegen 26";"6884";"Øvre Årdal";"57662860";"bpardal@bunnpris.no";"61.3107972";"7.8033717";false;false
"Bunnpris";"387";;;"& Gourmet Sortland";"Strandgata 26";"8401";"Sortland";"76122300";"bpsortland@bunnpris.no";"68.6940143";"15.4158886";true;false
"Bunnpris";"388";;;"& Gourmet Bossekop";"Skiferveien 2";"9513";"Alta";"78444080";"bpbossekop@bunnpris.no";"69.9601403";"23.2292293";false;false
"Bunnpris";"390";;;"Bismo";"";"2690";"Skjåk";"61214382";"bpbismo@bunnpris.no";"61.87476";"8.374211";true;false
"Bunnpris";"391";;;"Fåvang";"Tromsnesvegen 29";"2634";"Fåvang";"61282022";"bpfavang@bunnpris.no";"61.4559545";"10.1938811";false;false
"Bunnpris";"392";;;"Ringebu";"Gudbrandsdalsvegen 2046";"2630";"Ringebu";"61280023";"bpringebu@bunnpris.no";"61.5291322";"10.1458343";false;true
"Bunnpris";"393";;;"Aure";"";"6690";"Aure";"71646270";"bpaure@bunnpris.no";"63.2661115";"8.5299947";false;false
"Bunnpris";"398";;;"Ottestad";"Postvegen 38";"2312";"Ottestad";"62578433";"bpottestad@bunnpris.no";"60.7811262";"11.1130662";false;false
"Bunnpris";"399";;;"Gjerdrum";"";"2022";"Gjerdrum";"94489991";"bpgjerdrum@bunnpris.no";"60.089252";"11.070954";false;true
"Bunnpris";"400";;;"Søgne";"Rådhusveien 38";"4640";"Søgne";"38050344";"bpsogne@bunnpris.no";"58.0966259";"7.8149183";false;false
"Bunnpris";"402";;;"Storo";"";"Vita";"invn. 1";"";"bpstoro@bunnpris.no";"59.9453671";"10.7773854";false;false
"Bunnpris";"404";;;"Årnes";"";"Rådh";"sgata 12";"";"bparnes@bunnpris.no";"60.12329";"11.468102";true;false
"Bunnpris";"405";;;"Raufoss";"";"Sagv";"llvegen 3";"";"bpraufoss@bunnpris.no";"60.7224118";"10.6119393";false;false
"Bunnpris";"406";;;"Gjettum";"";"Dr. ";"østs vei 2";"";"bpgjettum@bunnpris.no";"59.9021939";"10.5171213";true;false
"Bunnpris";"411";;;"Odda";"Hjøllo 1";"5750";"Odda";"53644344";"bpodda@bunnpris.no";"60.0633303";"6.5510738";true;false
"Bunnpris";"412";;;"Bønes";"Tjørnhaugen 1";"5154";"Bønes";"55123630";"bpbones@bunnpris.no";"60.3334557";"5.3020175";true;false
"Bunnpris";"413";;;"Karmsundgata";"Karmsundgt. 75";"5531";"Haugesund";"52727444";"bpkarmsundgata@bunnpris.no";"59.4062221";"5.2877051";false;false
"Bunnpris";"414";;;"Markedet";"Skåregt. 92";"5528";"Haugesund";"52716411";"bpmarkedet@bunnpris.no";"59.4109399";"5.2737102";false;false
"Bunnpris";"415";;;"Kopervik";"Grensegaten 1";"4250";"Kopervik";"52850255";"bpkopervik@bunnpris.no";"59.280675";"5.3063494";false;false
"Bunnpris";"416";;;"Sand";"Øvre Dalane 10";"4230";"Sand";"52796820";"bpsand@bunnpris.no";"59.4834459";"6.2570469";false;false
"Bunnpris";"417";;;"Sauda";"Saudasjøveien";"4200";"Sauda";"52780000";"bpsauda@bunnpris.no";"59.6507178";"6.3541435";false;false
"Bunnpris";"418";;;"Storgata";"Storgata 19";"8480";"Andenes";"76141093";"bpstorgata@bunnpris.no";"69.3201018";"16.123823";false;false
"Bunnpris";"420";;;"Austmarka";"Søre Austmarka 9";"5938";"Sæbøvågen";"56374180";"bpaustmarka@bunnpris.no";"60.6183961";"5.1811351";false;false
"Bunnpris";"422";;;"Gravdal";"Gravdalsgata 22";"8372";"Gravdal";"76081520";"bpgravdal@bunnpris.no";"68.1199277";"13.5472927";true;false
"Bunnpris";"468";;;"Vålerveien";"";"Våle";"veien 130";"";"bpvalerveien@bunnpris.no";"59.4414407";"10.6936576";true;true
"Bunnpris";"469";;;"Levangernesset";"Staupslia 34C";"7604";"Levanger";"74080345";"bplevangernesset@bunnpris.no";"63.7479203";"11.2769595";false;false
"Bunnpris";"470";;;"Mulen";"";"Øvre";"Sandviksveien 52";"";"bpmulen@bunnpris.no";"60.4047713";"5.3282546";false;true
"Bunnpris";"471";;;"Nøstet";"";"Nøst";"gaten 52";"";"bpnostet@bunnpris.no";"60.3931064";"5.3146203";true;false
"Bunnpris";"506";;;"Leirfjord";"";"Lela";"d 1";"";"bpleirfjord@bunnpris.no";"66.065032";"12.946114";false;false
"Bunnpris";"520";;;"Valldal";"Grandegata 38";"6210";"Valldal";"70259192";"Bpvalldal@bunnpris.no";"62.297538";"7.2548654";false;false
"Bunnpris";"524";;;"Sandnessjøen";"";"Toro";"v Kveldulvsons gt. 24-28";"";"Bunnpris.Sandnessjoen@bunnpris.no";"66.0222926";"12.6351352";false;false
"Bunnpris";"525";;;"Sletten";"Hagerups vei 52";"5093";"Bergen";"55279909";"bpsletten@bunnpris.no";"60.3577256";"5.3587382";true;false
"Bunnpris";"528";;;"Ramsund";"Ramsund";"9442";"Ramsund";"76938360";"BPRamsund@bunnpris.no";"68.5007202";"16.4858505";false;false
"Bunnpris";"540";;;"Havnegata";"Havnegata 4";"9404";"Harstad";"77070400";"bphavnegata@bunnpris.no";"68.8047042";"16.5491626";false;false
"Bunnpris";"542";;;"Atløy";"Skaret";"6985";"Atløy";"91863838";"BPAtloy@bunnpris.no";"61.3454686";"4.9419387";false;false
"Bunnpris";"543";;;"Romolslia";"Innbrektsflata 1";"7029";"Trondheim";"72845690";"bpromolslia@bunnpris.no";"63.3782745";"10.3644232";false;false
"Bunnpris";"544";;;"Kongens Plass";"Kongens plass 1";"6509";"Kristiansund";"71670399";"bpkongensplass@bunnpris.no";"63.1100846";"7.7289812";false;true
"Bunnpris";"545";;;"Møllergaten";"";"Møll";"rgaten 34";"";"bpmollergaten@bunnpris.no";"59.9173789";"10.7498951";false;false
"Bunnpris";"546";;;"Torggaten";"Torggaten 7";"5014";"Bergen";"99500426";"bptorggaten@bunnpris.no";"60.3913932";"5.3223355";false;true
"Bunnpris";"552";;;"Prinsen";"Kongensgate 30";"7012";"Trondheim";"99097710";"bpprinsen@bunnpris.no";"63.4310482";"10.3911446";false;false
"Bunnpris";"1";;;"Angelltrøa";"Granåsveien 33";"7048";"TRONDHEIM";"73918125";"bpangelltroa@bunnpris.no";"63.4169";"10.4608";true;true
"Bunnpris";"2";;;"& Gourmet Elgeseter";"Elgesetergate 18";"7030";"TRONDHEIM";"73533265";"bpelgeseter@bunnpris.no";"63.4198";"10.3957";true;false
"Bunnpris";"4";;;"Jakobsli";"Jakobsliveien 7";"7058";"TRONDHEIM";"73914425";"bpjakobsli@bunnpris.no";"63.4269";"10.4941";false;true
"Bunnpris";"5";;;"& Gourmet Nidarvoll";"Baard Iversens vei 2";"7037";"TRONDHEIM";"73966325";"bpnidarvoll@bunnpris.no";"63.4012";"10.4047";false;true
"Bunnpris";"6";;;"Bakklandet ";"Nedre Bakklandet 79";"7014";"TRONDHEIM";"73521190";"bpbakklandet@bunnpris.no";"63.4319";"10.4081";false;true
"Bunnpris";"7";;;"Brekstad";"Yrjarsgate";"7130";"BREKSTAD";"72525180";"bpbrekstad@bunnpris.no";"63.6903";"9.663";false;true
"Bunnpris";"8";;;"Buran";"Ulstadløkkveien 5";"7042";"TRONDHEIM";"73841390";"bpburan@bunnpris.no";"63.4368";"10.4239";true;false
"Bunnpris";"9";;;"Fillan";"Oldervikveien 1";"7240";"HITRA";"72441156";"bpfillan@bunnpris.no";"63.5984327";"8.9327931";false;false
"Bunnpris";"10";;;"Flatåsen";"Øvre Flatåsvei 4 D";"7079";"FLATÅSEN";"72585640";"bpflatasen@bunnpris.no";"63.372";"10.3423";true;true
"Bunnpris";"11";;;"Havstad";"Byåsveien 158";"7021";"TRONDHEIM";"72558810";"bphavstad@bunnpris.no";"63.4085";"10.3597";true;false
"Bunnpris";"12";;;"Heimdal";"Søbstadveien 7";"7088";"HEIMDAL";"72846466";"bpheimdal@bunnpris.no";"63.3531";"10.3561";true;false
"Bunnpris";"13";;;"Ila";"Kleistsgate 1";"7018";"TRONDHEIM";"73527778";"bpila@bunnpris.no";"63.4299";"10.3682";false;true
"Bunnpris";"14";;;"Klett";"Klettveien 9";"7083";"LEINSTRAND";"72846517";"bpklett@bunnpris.no";"63.3256";"10.3082";true;false
"Bunnpris";"17";;;"Kyrksæterøra";"Trondheimsveien 44";"7200";"KYRKSÆTERØRA";"72451530";"bpkyrkseterora@bunnpris.no";"63.2894";"9.065";false;false
"Bunnpris";"18";;;"Lade";"Håkon Magnussonsgt 3";"7041";"TRONDHEIM";"73526069";"bplade@bunnpris.no";"63.4442";"10.4405";false;false
"Bunnpris";"19";;;"Lerkendal";"Dybdahls vei 5";"7051";"TRONDHEIM";"73945867";"bplerkendal@bunnpris.no";"63.4133";"10.4143";true;false
"Bunnpris";"15";;;"Klæbu";"Vikingveien 7";"7540";"KLÆBU";"72830510";"bpklebu@bunnpris.no";"63.3011";"10.4835";true;true
"Bunnpris";"16";;;"Kvenvær";"Sjøbakkan 15";"7243";"KVENVÆR";"72444600";"bpkvenver@bunnpris.no";"63.5313";"8.3876";true;true
"Bunnpris";"20";;;"Leüthen";"Kongens gate 56";"7012";"TRONDHEIM";"73521520";"bpleuthen@bunnpris.no";"63.4305";"10.3878";false;true
"Bunnpris";"21";;;"Moholt";"Bregneveien 67";"7050";"TRONDHEIM";"7394307041617610";"bpmoholt@bunnpris.no";"63.4132";"10.432";true;true
"Bunnpris";"22";;;"Munkegaten";"Munkegaten 48";"7011";"TRONDHEIM";"73521700";"bpmunkegate@bunnpris.no";"63.432";"10.3939";false;false
"Bunnpris";"23";;;"Oppdal";"Nyveien 2";"7340";"OPPDAL";"72421320";"bpoppdal@bunnpris.no";"62.5951";"9.6934";false;true
"Bunnpris";"24";;;"Orkanger";"Orkdalsveien 64";"7300";"ORKANGER";"72487120";"bporkanger@bunnpris.no";"63.2896";"9.8421";false;true
"Bunnpris";"26";;;"Rosenborg";"Weidmannsveien 4";"7043";"TRONDHEIM";"73522028";"bprosenborg@bunnpris.no";"63.4323";"10.4177";true;false
"Bunnpris";"27";;;"Rydningen";"Rydningen 1";"7027";"TRONDHEIM";"7256844092880654";"bprydningen@bunnpris.no";"63.3878";"10.3534";false;false
"Bunnpris";"28";;;"Samfundet";"Klostergata 2";"7030";"TRONDHEIM";"73524370";"bpsamfundet@bunnpris.no";"63.4221";"10.3991";false;false
"Bunnpris";"29";;;"Sandmoen";"Sandmoveien 24";"7072";"HEIMDAL";"72886035";"bpsandmoen@bunnpris.no";"63.3358";"10.363";false;true
"Bunnpris";"30";;;"Sandstad";"";"7246";"SANDSTAD";"72443610";"bpsandstad@bunnpris.no";"63.5412";"9.1512";true;false
"Bunnpris";"31";;;"Stadsbygd";"Tegleverksveien 128";"7105";"STADSBYGD";"73854450";"bpstadsbygd@bunnpris.no";"63.4973405";"10.0145199";false;true
"Bunnpris";"32";;;"Stubban";"Stubbsvingen 39";"7036";"TRONDHEIM";"73966120";"bpstubban@bunnpris.no";"63.3911";"10.4208";false;false
"Bunnpris";"33";;;"Tonstad";"Torvmyra 2";"7091";"TILLER";"72887992";"bptonstad@bunnpris.no";"63.3614";"10.3907";true;true
"Bunnpris";"34";;;"Ugla";"Odd Husbysvei 22";"7024";"TRONDHEIM";"72557553";"bpugla@bunnpris.no";"63.3951";"10.3365";false;true
"Bunnpris";"35";;;"Vestlia";"Edgar B. Schieldrops vei 7";"7033";"TRONDHEIM";"73962892";"bpvestlia@bunnpris.no";"63.3992";"10.4362";false;false
"Bunnpris";"36";;;"Vikåsen";"Vikåsen 8";"7054";"RANHEIM";"7357270047653277";"bpvikasen@bunnpris.no";"63.4127";"10.5377";true;false
"Bunnpris";"37";;;"Vormstad";"";"7330";"SVORKMO";"72489445";"bpvormstad@bunnpris.no";"63.1991";"9.7689";false;false
"Bunnpris";"38";;;"& Gourmet Tyholt";"Lillebergveien 8";"7052";"TRONDHEIM";"73935210";"bptyholt@bunnpris.no";"63.4186";"10.4309";true;false
"Bunnpris";"39";;;"& Gourmet Nyborg";"Gamle Oslovei 28";"7020";"TRONDHEIM";"72558200";"bpnyborg@bunnpris.no";"63.4136";"10.352";true;false
"Bunnpris";"42";;;"Guldbergaunet";"Svedjanveien 2";"7716";"STEINKJER";"74161644";"bpguldbergaunet@bunnpris.no";"64.0176";"11.5154";false;false
"Bunnpris";"43";;;"Leksvik";"Lundaveien 9";"7120";"LEKSVIK";"74857540";"bpleksvik@bunnpris.no";"63.6723104";"10.6212218";true;false
"Bunnpris";"44";;;"Meråker";"";"7530";"MERÅKER";"74810215";"bpmeraker@bunnpris.no";"63.4042";"11.7615";false;false
"Bunnpris";"45";;;"Røra";"Hyllavegen 4B";"7670";"INDERØY";"74154988";"bprora@bunnpris.no";"63.8485968";"11.4009916";true;false
"Bunnpris";"46";;;"Skogn";"Gamle E6 1321";"7620";"Skogn";"74095360";"bpskogn@bunnpris.no";"63.7011076";"11.186882";false;false
"Bunnpris";"47";;;"Stjørdal";"Sandgata 1";"7500";"STJØRDAL";"74821970";"bpstjordal@bunnpris.no";"63.4694";"10.9242";false;true
"Bunnpris";"48";;;"Sørlia";"Løsbergvegen 2";"7712";"STEINKJER";"74161310";"bpsorlia@bunnpris.no";"63.9966";"11.4693";false;false
"Bunnpris";"49";;;"Verdal";"Jernbanegata 9 B";"7650";"VERDAL";"7407671841621982";"bpverdal@bunnpris.no";"63.7909";"11.4853";true;true
"Bunnpris";"50";;;"Andenes";"Myrveien 1";"8480";"ANDENES";"76142581";"bpandenes@bunnpris.no";"69.2715";"15.9568";false;true
"Bunnpris";"52";;;"Bogen";"Bergvikveien 9";"8533";"Bogen";"76983582";"bpbogen@bunnpris.no";"68.5239428";"17.0077477";true;false
"Bunnpris";"53";;;"Bogøy";"";"8288";"BOGØY";"75777207";"bpbogoy@bunnpris.no";"67.9033";"15.1819";false;false
"Bunnpris";"54";;;"Brønnøysund";"Storgata 30";"8901";"BRØNNØYSUND";"75023011";"bpbronnoysund@bunnpris.no";"65.4717";"12.2079";true;true
"Bunnpris";"55";;;"Båsmoen";"Nordåsveien 1";"8616";"MO I RANA";"75150120";"bpbasmoen@bunnpris.no";"66.3393";"14.1169";true;true
"Bunnpris";"56";;;"Gruben";"Storgata 24";"8610";"MO I RANA";"75150010";"bpgruben@bunnpris.no";"66.3183";"14.1919";false;false
"Bunnpris";"58";;;"Fauske";"Sjøgata 78";"8200";"FAUSKE ";"75645580";"bpfauske@bunnpris.no";"67.2584";"15.3973";false;true
"Bunnpris";"59";;;"Kjøpsvik";"FL Smidtsvei 8";"8590";"KJØPSVIK";"75774406";"bpkjopsvik@bunnpris.no";"68.0994";"16.3772";false;false
"Bunnpris";"60";;;"& Gourmet Leknes";"Storgata 8";"8370";"LEKNES";"76086366";"bpleknes@bunnpris.no";"68.1489";"13.6176";false;true
"Bunnpris";"61";;;"& Gourmet Mo";"O.T Olsens gate 1";"8622";"MO I RANA";"75169598";"moirana@bunnpris.no";"66.3058";"14.1339";true;false
"Bunnpris";"62";;;"Mosjøen";"Smågan 2";"8656";"MOSJØEN";"75170770";"bpmosjoen@bunnpris.no";"65.8398";"13.1903";true;true
"Bunnpris";"63";;;"Ramberg";"";"8380";"RAMBERG";"76052020";"bpramberg@bunnpris.no";"68.091";"13.2324";true;false
"Bunnpris";"66";;;"Stormyra";"Gamle Riksvei 21";"8008";"BODØ";"75508253";"bpstormyra@bunnpris.no";"67.2813";"14.4141";true;true
"Bunnpris";"67";;;"Vågaholmen";"Vågaholmen";"8185";"VÅGAHOLMEN";"75098900";"bpvagaholmen@bunnpris.no";"66.7136707";"13.2871069";true;false
"Bunnpris";"70";;;"Rypefjord";"Mellomveien 25";"9610";"RYPEFJORD";"78418185";"bprypefjord@bunnpris.no";"70.6446";"23.6758";true;true
"Bunnpris";"71";;;"Angvik";"Sørlandvegen 2269";"6636";"ANGVIK";"71292620";"bpangvik@bunnpris.no";"62.8901";"8.0805";true;false
"Bunnpris";"72";;;"Aspøya";"Aspøya Fjordsenter";"6670";"ØYDEGARDEN";"71533440";"bpaspoya@bunnpris.no";"63.0003";"7.9504";true;true
"Bunnpris";"73";;;"Aukra";"Falkhyttrøra 10";"6480";"AUKRA";"71174503";"bpaukra@bunnpris.no";"62.8053687";"6.889766";false;false
"Bunnpris";"74";;;"Batnfjord";"Nordmørsvegen 6";"6631";"BATNFJORDSØRA";"71290119";"bpbatnfjord@bunnpris.no";"62.8926";"7.6803";false;false
"Bunnpris";"75";;;"Brattvåg";"Strandgata 40";"6270";"BRATTVÅG";"70215993";"bpbrattvag@bunnpris.no";"62.5978";"6.4458";true;false
"Bunnpris";"76";;;"Broa";"Brogata 1";"6005";"ÅLESUND";"70122816";"bpbroa@bunnpris.no";"62.4697";"6.1256";true;false
"Bunnpris";"77";;;"Brunsvika";"Storskarven 2";"6514";"KRISTIANSUND";"71679811";"bpbrunsvika@bunnpris.no";"63.1223";"7.7139";true;true
"Bunnpris";"78";;;"Bud";"Prestegardsveien 163";"6430";"BUD";"7126151997693270";"bpbud@bunnpris.no";"62.9072045";"6.9141386";false;true
"Bunnpris";"79";;;"Eidsvåg";"Kråkholmveien 15";"6460";"EIDSVÅG";"71231800";"bpeidsvag@bunnpris.no";"62.7767046";"8.0668144";false;false
"Bunnpris";"80";;;"Elnesvågen";"Dalelia 12";"6440";"ELNESVÅGEN";"71266060";"bpelnesvagen@bunnpris.no";"62.8548026";"7.1743816";false;true
"Bunnpris";"81";;;"Freitorget";"Senterveien 3";"6520";"FREI";"71528060";"bpfreitorget@bunnpris.no";"63.0929";"7.841";true;false
"Bunnpris";"82";;;"& Gourmet Fuglset";"Frænaveien 107";"6416";"MOLDE";"71191700";"bpfuglset@bunnpris.no";"62.7444";"7.1988";true;true
"Bunnpris";"83";;;"Futura";"Industriveien 17";"6517";"KRISTIANSUND";"71584550";"bpfutura@bunnpris.no";"63.1106";"7.7808";true;false
"Bunnpris";"84";;;"Halsa";"Landveien 4";"6680";"HALSANAUSTAN";"71559988";"bphalsa@bunnpris.no";"63.0699144";"8.2395787";true;false
"Bunnpris";"85";;;"Hareid";"Strandgata 53";"6060";"HAREID";"70092144";"bphareid@bunnpris.no";"62.3683307";"6.0325037";true;true
"Bunnpris";"86";;;"Harøy";"";"6487";"HARØY";"71276514";"bpharoy@bunnpris.no";"62.7823";"6.4685";false;false
"Bunnpris";"87";;;"Innlandet";"Skjærvaveien 10";"6507";"KRISTIANSUND";"71671212";"bpinnlandet@bunnpris.no";"63.1037";"7.7289";false;false
"Bunnpris";"88";;;"Isfjorden";"";"6339";"ISFJORDEN";"71225000";"bpisfjorden@bunnpris.no";"62.5781";"7.7935";true;false
"Bunnpris";"89";;;"Kvam";"Mekveien 5";"6411";"MOLDE";"71254322";"bpkvam@bunnpris.no";"62.7358";"7.0942";true;false
"Bunnpris";"90";;;"Langøya";"Reksundveien 103";"6533";"AVERØY";"71515395";"bplangoya@bunnpris.no";"63.0641";"7.4961";true;false
"Bunnpris";"91";;;"Langevåg";"Fyllingvegen 9";"6030";"LANGEVÅG";"70193600";"bplangevag@bunnpris.no";"62.4423";"6.1897";true;false
"Bunnpris";"92";;;"Rensvik";"";"6529";"FREI";"71525460";"bprensvik@bunnpris.no";"63.0974";"7.8215";true;false
"Bunnpris";"93";;;"Rindal";"Rindalslina 1042";"6657";"RINDAL";"71666710";"bprindal@bunnpris.no";"63.0585";"9.1958";false;false
"Bunnpris";"94";;;"Romsdalsgata";"Romsdalsgata 7";"6415";"MOLDE";"71218440";"bpromsdalsgata@bunnpris.no";"62.7381";"7.1668";false;true
"Bunnpris";"95";;;"Sentrum Molde";"Fjordgata 1-3";"6413";"MOLDE";"71251669";"bpsentrum@bunnpris.no";"62.7364";"7.1574";true;false
"Bunnpris";"96";;;"Sjøholt";"Årøyvegen 2";"6249";"ØRSKOG";"70270305";"bpsjoholt@bunnpris.no";"62.4838";"6.8119";false;false
"Bunnpris";"97";;;"Skei";"Skeivegen 35";"6650";"SURNADAL";"71662040";"bpskei@bunnpris.no";"62.9702";"8.717";false;false
"Bunnpris";"98";;;"St. Hanshaugen";"Lars Guttormsens gate 76";"6510";"KRISTIANSUND";"71671546";"bpsthanshaugen@bunnpris.no";"63.1191";"7.7235";false;false
"Bunnpris";"99";;;"Stortua";"Trollsvingen 32";"6511";"KRISTIANSUND";"71670977";"bpstortua@bunnpris.no";"63.121";"7.7398";true;false
"Bunnpris";"100";;;"Straumgjerde";"";"6238";"STRAUMGJERDE";"70251507";"bpstraumgjerde@bunnpris.no";"62.3333";"6.5943";true;false
"Bunnpris";"101";;;"Sunndalsøra";"Killurdsgate 1";"6600";"SUNNDALSØRA";"71691504";"bpsunndalsora@bunnpris.no";"62.675";"8.565";false;true
"Bunnpris";"102";;;"Sylteosen";"Malmefjordvegen 24";"6440";"ELNESVÅGEN";"71265588";"bpsylteosen@bunnpris.no";"62.837";"7.2355";false;false
"Bunnpris";"103";;;"Tustna";"Leira";"6590";"TUSTNA";"71521108mobil46680245";"bptustna@bunnpris.no";"63.2069";"8.044";false;true
"Bunnpris";"104";;;"Ulsteinvik";"Saunesvegen 10";"6067";"ULSTEINVIK";"70010051";"bpulsteinvik@bunnpris.no";"62.343";"5.8469";false;false
"Bunnpris";"105";;;"Valderøy";"Øysenteret, Pettervegen";"6050";"VALDERØY";"70181304";"bpvalderoy@bunnpris.no";"62.4994";"6.1311";false;true
"Bunnpris";"106";;;"Valsøyfjord";"Valsøyfjordvegen 1418";"6687";"VALSØYFJORD";"71555156";"bpvalsoyfjord@bunnpris.no";"63.1168";"8.5885";true;false
"Bunnpris";"107";;;"Vatne";"Vatneeidet";"6282";"Brattvåg";"70213240";"bpvatne@bunnpris.no";"62.5451";"6.592";false;true
"Bunnpris";"108";;;"Vestnes Brygge";"Sjøgata 34";"6399";"VESTNES";"71180124";"bpvestnesbrygge@bunnpris.no";"62.6222";"7.0935";false;true
"Bunnpris";"109";;;"Volda";"Halkjelsgate 4";"6100";"VOLDA";"70076130";"bpvolda@bunnpris.no";"62.145";"6.0661";false;false
"Bunnpris";"110";;;"Åndalsnes";"Øran";"6300";"ÅNDALSNES";"71222522";"bpandalsnes@bunnpris.no";"62.558";"7.6835";false;true
"Bunnpris";"111";;;"Årø";"Eikremsvingen 2";"6422";"MOLDE";"71250760";"bparo@bunnpris.no";"62.7472";"7.252";true;false
"Bunnpris";"112";;;"Bjorli";"";"2669";"BJORLI";"6124553797622945";"bpbjorli@bunnpris.no";"62.2585";"8.2072";true;true
"Bunnpris";"113";;;"Dombås";"Gudbrandsdalsvegen 2576";"2660";"DOMBÅS";"61241355";"bpdombaas@bunnpris.no";"62.0724";"9.1238";false;true
"Bunnpris";"114";;;"Lesjaskog";"Strandvegen 181";"2668";"LESJASKOG";"61244511";"bplesjaskog@bunnpris.no";"62.233";"8.3532";true;false
"Bunnpris";"115";;;"Otta";"Storgata 17 B";"2670";"OTTA";"61231650";"bpotta@bunnpris.no";"61.7705";"9.5369";false;true
"Bunnpris";"117";;;"Bryggja";"Maurstad";"6711";"Bryggja";"57854999";"bpbryggja@bunnpris.no";"61.94524";"5.4572079";true;true
"Bunnpris";"118";;;"Eid";"Sjøgata 21";"6770";"NORDFJORDEID";"57860033";"bpeid@bunnpris.no";"61.9081";"5.9849";false;true
"Bunnpris";"119";;;"Førde";"Naustdalsveien 1";"6800";"FØRDE";"57821166";"bpforde@bunnpris.no";"61.4514";"5.8488";false;true
